OBJECTID,ROAD_NAME_FULL
626,CONFEDERATION PRIV
627,SPADINA AVE
628,SAXTON PRIV
629,ESTERLAWN PRIV
630,PERRIN AVE
631,BUTTERWICK ST
632,MUNSTER RD
633,CANYON WALK DR
634,WEST HUNT CLUB RD
635,SAUMURE RD
636,"MONTREAL, CHEMIN DE"
637,BORTOLOTTI CRES
638,"SCOTT-DUPUIS, VOIE"
639,WILLOW AVE
640,JUNIPER ST
641,CLAYMOR AVE
642,KINGSMERE AVE
643,SPRING GARDEN AVE
644,MCALLISTER PRIV
645,HIGHGATE RD
646,IRIS ST
647,WOLFGANG DR
648,LENIDA DR
649,BOXWOOD CRT
650,KIRKSTALL AVE
651,OR174 IC109 RAMP56
652,CLYDE AVE
653,HARBOUR ST
654,IRONWOOD CRT
655,ROSTAD AVE
656,BELLROCK DR
657,BRANTHAVEN ST
658,OFFENBACH LANE
659,MCCARTHY RD
660,KENILWORTH ST
661,WHITBY AVE
662,PICCADILLY AVE
663,FIRST LINE RD
664,HWY417 IC144 RAMP25
665,THIRD LINE RD S
666,GOLDEN AVE
667,ERIE AVE
668,CHESTERTON DR
669,BOYD AVE
670,MOCKINGBIRD DR
671,BEECHMONT CRES
672,NASHDALE DR
673,MATHIEU WAY
674,BEAUSEJOUR DR
675,ELDERBERRY TERR
676,PLESSER ST
677,WESTON DR
678,DAUPHIN RD
679,BEDFORD CRES
680,FAIRBANKS AVE
681,JOLLIET AVE
682,LAKERIDGE DR
683,FLETCHER CIR
684,LOUIS TOSCANO DR
685,CECIL ROWAT LANE
686,PLACE D'ORLEANS DR
687,ALTA VISTA DR
688,ORCHARD AVE
689,BEGONIA AVE
690,ALDERWOOD ST
691,JOHNSTON RD
692,PAUL ANKA DR
693,SAMPLE RD
694,EMBER GLOW CRT
695,LYNWOOD PARK PRIV
696,BROCKSTONE CRES
697,SCHUBERT CIR
698,JOHN QUINN RD
699,QUINTERRA CRT
700,MALHOTRA CRT
701,SILVER SEVEN RD
702,TRENTON AVE
703,PONTIAC ST
704,ERINDALE DR
705,ELEANOR DR
706,PALSEN ST
707,CORRY ST
708,WESTON DR
709,WHIPPOORWILL DR
710,"RENE-DORE, VOIE"
711,WAYLING AVE
712,MARQUETTE AVE
713,WOLFFDALE CRES
714,FEATHERSTON DR
715,LAVERGNE ST
716,JOLLIET AVE
717,MAPLE LANE
718,VISTAPARK DR
719,PARKWAY (THE)
720,MARIPOSA AVE
721,WOODBINE PL
722,ROGER RD
723,CARTIER ST
724,NORMANDY CRES
725,FOURTH AVE
726,PERCY ST
727,SHELLEY AVE
728,JOSEPH CIR
729,NORWAY SPRUCE ST
730,TRAILWAY CIR
731,RAMP
732,HWY417 IC130 RAMP61
733,CARTIER ST
734,MACKAY ST
735,ALEXANDER ST
736,CHALMERS RD
737,GROVE AVE
738,LEONARD AVE
739,PELLAN CRES
740,PIXLEY PRIV
741,VARLEY DR
742,PICKFORD DR
743,SCOTT ST
744,CARLING AVE
745,ENFIELD AVE
746,PLACE D'ORLEANS DR
747,TREMBLAY RD
748,PIONEER LINE RD
749,MINTO PL
750,HARTSMERE DR
751,MILL HILL RD
752,CASTLETON ST
753,THICKET WAY
754,BRISSAC WAY
755,"ORLEANS, BOULEVARD D'"
756,PERCY ST
757,NELSON ST
758,WHITE SPRUCE ST
759,OSGOODE ST
760,EISENHOWER CRES
761,CORELLI WAY
762,PEPPERGRASS RD
763,CALABAR CRT
764,ARROWGRASS WAY
765,STAGECOACH RD
766,NORTH RIVER RD
767,MCARTHUR AVE
768,OGILVIE RD
769,OLMSTEAD ST
770,OLD GEORGE ST
771,DREW HENRY DR
772,MACKENZIE AVE
773,PRINCE ALBERT ST
774,COBDEN RD
775,PINE VISTA DR
776,SUMAC HILL LANE
777,WOODFORD WAY
778,HARLEQUIN CRES
779,REGIONAL ROAD 174
780,INNES RD
781,RICHMOND RD
782,VANHURST PL
783,HARTMAN CRES
784,KENILWORTH ST
785,CHURCHILL AVE N
786,PORTOBELLO BLVD
787,SYNERGY WAY
788,GRAHAM CREEK PRIV
789,EVELYN POWERS PRIV
790,"STERNES, DES PRIV"
791,PASSAGEWAY PRIV
792,CULLODEN CRES
793,KILSPINDIE RIDGE
794,LOCHHOUSE WALK
795,KILSPINDIE RIDGE
796,KILSPINDIE RIDGE
797,TREMBLAY RD
798,BEAUSOLEIL DR
799,LOLA ST
800,NAVAN RD
801,WILHAVEN DR
802,GLENHAVEN PRIV
803,"BOISE, RUELLE DU"
804,GORDON MURDOCK RD
805,PRINCESS LOUISE DR
806,TURN LANE
807,DU GRAND BOIS AVE
808,CLARENDON AVE
809,MAYFAIR AVE
810,TURN LANE
811,DORACK DR
812,VANCOUVER AVE
813,TURN LANE
814,CROMWELL DR
815,RIDGEMONT AVE
816,LYDIA WAY
817,MACLARENS SIDE RD
818,DELANEY DR
819,THOMAS A. DOLAN PKY
820,GOLFLINKS DR
821,KEIGHLEY CIR
822,HIGHWAY 417
823,HEMLOCK RD
824,"MONTREAL, CHEMIN DE"
825,RICHMOND RD
826,INWOOD DR
827,CHANONHOUSE DR
828,VANSTONE DR
829,HARROGATE PL
830,SOLVA DR
831,BEDALE DR
832,HICKORY ST
833,BALSAM ST
834,WHITMORE AVE
835,HILLIARD AVE
836,REDPINE DR
837,WOODRIDGE CRES
838,VALADE CRES
839,CABARET LANE
840,PICKWICK DR
841,MOORE ST
842,ORKNEY PRIV
843,SHINING STAR CIR
844,BANNERHILL PRIV
845,ROWAN RD
846,SUNRIDGE LANE
847,HUNTERSFIELD DR
848,JOHNSTON RD
849,DON REID DR
850,RIVER BEND DR
851,HEPBURN CRT
852,MORNINGSUN CRES
853,MCGILL PRIV
854,FARMVIEW RD
855,GRANTS SIDE RD
856,CHELTENHAM PRIV
857,PINERIDGE RD
858,ROLSTON WAY
859,FIRST LINE RD
860,LONGFIELDS DR
861,FROST AVE
862,MONK ST
863,BUXTON CRES
864,BURTON RD
865,VALLEY DR
866,LACASSE AVE
867,MCCARTHY RD
868,DICKINSON AVE
869,AVOCADO ST
870,COLMAN ST
871,FLANNERY DR
872,RUSKIN ST
873,FAIRLAKES WAY
874,FAIRLAKES WAY
875,STRANDHERD DR
876,SCULLY WAY
877,MANHATTAN CRES
878,ROWATT ST
879,LORNE GREENE WAY
880,PARKHAVEN AVE
881,MIRIAM AVE
882,JULES LEGER DR
883,BRIDGET ST
884,GALWAY ST
885,MIKA ST
886,HWY417 IC118 RAMP64
887,HWY417 IC138 RAMP61
888,QUEENSBURY DR
889,NORTHGATE ST
890,WOODPARK WAY
891,KEEFER ST
892,MAST LANE
893,KARENDALE ST
894,CHEROKEE WAY
895,HERON RD
896,CLARITY AVE
897,CLARITY AVE
898,CLARITY AVE
899,NAMASTE WALK
900,HARMER AVE N
901,SHERWOOD DR
902,GOLDEN AVE
903,MAPLE VIEW CRES
904,SPRUCEWOOD PL
905,SENTINEL PINE WAY
906,RIVERSTONE DR
907,GOLDERS GREEN LANE
908,HIGHWAY 417
909,LEITRIM RD
910,MITCH OWENS RD
911,GLADSTONE AVE
912,DONALD ST
913,WILLETH AVE
914,CHATELAIN AVE
915,BLUERIDGE CRT
916,EXETER DR
917,GLENROY GILBERT DR
918,BROOKFIELD RD
919,GRAINSTONE WAY
920,BROOKFIELD RD
921,BROOKFIELD RD
922,BROOKFIELD RD
923,VAN VLIET RD
924,IONA ST
925,DRISCOLL DR
